emp,alc,country
55.70000076,0.03,Afghanistan
51.40000153,7.29,Albania
50.5,0.69,Algeria
75.69999695,5.57,Angola
58.40000153,9.35,Argentina
40.09999847,13.66,Armenia
61.5,10.21,Australia
57.09999847,12.4,Austria
60.90000153,13.34,Azerbaijan
66.59999847,8.65,Bahamas
60.40000153,4.19,Bahrain
68.09999847,0.17,Bangladesh
66.90000153,6.42,Barbados
53.40000153,18.85,Belarus
48.59999847,10.41,Belgium
56.79999924,5.92,Belize
71.59999847,2.08,Benin
58.40000153,0.54,Bhutan
70.40000153,5.78,Bolivia
41.20000076,9.6,Bosnia and Herzegovina
46,6.97,Botswana
64.5,10.08,Brazil
63.79999924,1.86,Brunei
47.29999924,11.4,Bulgaria
81.30000305,7.32,Burkina Faso
83.19999695,9.65,Burundi
78.90000153,4.71,Cambodia
59.09999847,7.9,Cameroon
63.5,10.2,Canada
55.90000153,4.98,Cape Verde
71.30000305,3.17,Central African Rep.
68.90000153,4.39,Chad
51,8.81,Chile
72.80000305,5.56,China
63.20000076,6.59,Colombia
68,0.28,Comoros
66.19999695,3.39,"Congo, Dem. Rep."
64.19999695,4.46,"Congo, Rep."
58.59999847,5.81,Costa Rica
59.90000153,6.47,Cote d'Ivoire
47.09999847,15,Croatia
56,5.12,Cuba
59.09999847,8.84,Cyprus
56,16.47,Czech Rep.
63.09999847,12.02,Denmark
52.70000076,6.28,Dominican Rep.
59.70000076,9.43,Ecuador
42.40000153,0.32,Egypt
58.20000076,3.99,El Salvador
61.70000076,6.12,Equatorial Guinea
64.90000153,1.64,Eritrea
56.5,17.24,Estonia
80.69999695,4.1,Ethiopia
56.40000153,2.76,Fiji
57.20000076,13.1,Finland
51.20000076,12.48,France
59,9.46,Gabon
71.69999695,3.58,Gambia
55.59999847,6.66,Georgia
53.5,12.14,Germany
65.09999847,3.11,Ghana
49.59999847,11.01,Greece
62.70000076,7.1,Guatemala
81.5,0.79,Guinea
65.90000153,3.9,Guinea-Bissau
58.90000153,8.7,Guyana
55.90000153,5.92,Haiti
56.29999924,4.43,Honduras
47.29999924,16.12,Hungary
73.59999847,7.38,Iceland
55.40000153,2.69,India
61.5,0.56,Indonesia
47.79999924,1.03,Iran
37.40000153,0.47,Iraq
59.90000153,14.92,Ireland
51.29999924,2.52,Israel
46.40000153,9.72,Italy
58.20000076,5.17,Jamaica
57.29999924,7.79,Japan
38.90000153,0.65,Jordan
63.70000076,11.1,Kazakhstan
73.19999695,3.88,Kenya
58.90000153,19.15,"Korea, Rep."
65.69999695,0.1,Kuwait
58.90000153,4.72,Kyrgyzstan
78.19999695,6.99,Laos
56.79999924,13.45,Latvia
46,2.3,Lebanon
56.29999924,5.56,Lesotho
66,5.07,Liberia
48.59999847,0.1,Libya
53.09999847,16.3,Lithuania
53.5,12.84,Luxembourg
34.90000153,8.94,"Macedonia, FYR"
83,1.32,Madagascar
71.80000305,1.44,Malawi
60.5,0.87,Malaysia
45.70000076,0.99,Mali
46.79999924,4.1,Malta
46.90000153,0.11,Mauritania
54.5,3.53,Mauritius
57.90000153,8.55,Mexico
44.29999924,23.01,Moldova
52.09999847,3.41,Mongolia
46.20000076,1.24,Morocco
77,2.27,Mozambique
74.69999695,0.58,Myanmar
42,12.09,Namibia
61.79999924,2.42,Nepal
61.29999924,9.75,Netherlands
65,9.99,New Zealand
58.79999924,5.21,Nicaragua
60.40000153,0.34,Niger
50.90000153,12.72,Nigeria
65,8.35,Norway
50.70000076,0.92,Oman
51,0.05,Pakistan
59.79999924,7.3,Panama
70.40000153,3.64,Papua New Guinea
73.09999847,7.91,Paraguay
68.30000305,6.53,Peru
61,6.08,Philippines
48.70000076,14.43,Poland
57.59999847,13.89,Portugal
76,1.29,Qatar
49.5,16.15,Romania
58.79999924,16.23,Russia
79.80000305,9.99,Rwanda
51.20000076,0.34,Saudi Arabia
65.59999847,0.51,Senegal
63.79999924,9.48,Sierra Leone
62.40000153,1.54,Singapore
53.40000153,13.31,Slovak Republic
55.90000153,14.94,Slovenia
65,1.37,Solomon Islands
66,0.5,Somalia
41.09999847,10.16,South Africa
52.5,11.83,Spain
55.09999847,0.81,Sri Lanka
47.29999924,2.56,Sudan
44.70000076,6.56,Suriname
50.90000153,5.05,Swaziland
60.70000076,9.5,Sweden
64.30000305,11.41,Switzerland
44.79999924,1.49,Syria
54.59999847,3.39,Tajikistan
78.19999695,7.86,Tanzania
72,7.08,Thailand
67.30000305,0.74,Timor-Leste
63.90000153,1.92,Togo
61.5,6.16,Trinidad and Tobago
41.59999847,1.05,Tunisia
42.79999924,3.02,Turkey
58.5,5,Turkmenistan
83.19999695,16.4,Uganda
54.40000153,17.47,Ukraine
75.19999695,0.52,United Arab Emirates
59.29999924,13.24,United Kingdom
62.29999924,9.7,United States
57.5,8.99,Uruguay
57.5,3.61,Uzbekistan
59.90000153,7.6,Venezuela
71,3.91,Vietnam
39,0.2,"Yemen, Rep."
61,3.56,Zambia
66.80000305,4.96,Zimbabwe