sui,alc,country
6.6843853,0.03,Afghanistan
7.699329853,7.29,Albania
4.848769665,0.69,Algeria
5.362178802,10.17,Andorra
14.55467701,5.57,Angola
2.1618433,8.17,Antigua and Barbuda
7.765584,9.35,Argentina
3.741587877,13.66,Armenia
8.470030125,10.21,Australia
13.09437,12.4,Austria
1.380964637,13.34,Azerbaijan
3.374415874,8.65,Bahamas
4.414990425,4.19,Bahrain
14.53835678,0.17,Bangladesh
3.108602524,6.42,Barbados
26.8746903,18.85,Belarus
15.95385,10.41,Belgium
9.388795853,5.92,Belize
6.057739735,2.08,Benin
15.54260254,0.54,Bhutan
2.034178495,5.78,Bolivia
11.8367157,9.6,Bosnia and Herzegovina
11.21397018,6.97,Botswana
4.777007,10.08,Brazil
1.370001554,1.86,Brunei
9.216544,11.4,Bulgaria
8.204221725,7.32,Burkina Faso
14.68093586,9.65,Burundi
4.961071491,4.71,Cambodia
7.214220524,7.9,Cameroon
10.10099,10.2,Canada
5.633333683,4.98,Cape Verde
13.54841995,3.17,Central African Rep
8.283070564,4.39,Chad
10.17187,8.81,Chile
16.91324806,5.56,China
4.907702,6.59,Colombia
4.751083851,0.28,Comoros
14.71302032,3.39,Congo Dem Rep
9.873761177,4.46,Congo Rep
4.373364925,3.23,Cook Islands
6.597168,5.81,Costa Rica
20.31793022,6.47,Cote d'Ivoire
14.77625,15,Croatia
10.57191,5.12,Cuba
2.206169,8.84,Cyprus
12.36798,16.47,Czech Rep
8.973104,12.02,Denmark
4.993475914,1.87,Djibouti
5.835250854,8.68,Dominica
6.519536972,6.28,Dominican Rep
8.504684448,9.43,Ecuador
1.799903631,0.32,Egypt
7.304886,3.99,El Salvador
10.12934971,6.12,Equatorial Guinea
8.913362503,1.64,Eritrea
16.95924,17.24,Estonia
10.07194233,4.1,Ethiopia
3.94025898,2.76,Fiji
16.23437,13.1,Finland
14.09153,12.48,France
7.745064735,9.46,Gabon
6.449156761,3.58,Gambia
1.574350119,6.66,Georgia
9.211085,12.14,Germany
6.288554668,3.11,Ghana
2.816705,11.01,Greece
3.576478243,10.71,Grenada
2.234896,7.1,Guatemala
7.443826199,0.79,Guinea
7.563692093,3.9,Guinea-Bissau
35.75287247,8.7,Guyana
1.519248009,5.92,Haiti
7.060184479,4.43,Honduras
20.16201,16.12,Hungary
11.42618084,7.38,Iceland
18.58382607,2.69,India
11.39611149,0.56,Indonesia
6.021882057,1.03,Iran
17.03264618,0.47,Iraq
10.36507,14.92,Ireland
5.931845,2.52,Israel
4.930044509,9.72,Italy
4.417507172,5.17,Jamaica
18.94693,7.79,Japan
0.201448724,0.65,Jordan
25.4046,11.1,Kazakhstan
10.93771839,3.88,Kenya
22.40456,19.15,Korea Rep
1.498057424,0.1,Kuwait
9.875281,4.72,Kyrgyzstan
26.21919823,6.99,Laos
20.36959,13.45,Latvia
5.83831501,2.3,Lebanon
7.858619213,5.56,Lesotho
7.1848526,5.07,Liberia
4.667024612,0.1,Libya
33.34186,16.3,Lithuania
12.40591812,12.84,Luxembourg
7.876878262,8.94,Macedonia FYR
5.767406464,1.32,Madagascar
10.17173481,1.44,Malawi
8.2110672,0.87,Malaysia
8.262892723,0.99,Mali
4.551121235,4.1,Malta
6.882952213,0.11,Mauritania
8.08154,3.53,Mauritius
4.288574,8.55,Mexico
4.762269974,5.25,Micronesia Fed Sts
15.53849,23.01,Moldova
13.08961582,3.41,Mongolia
2.109413624,1.24,Morocco
10.55037498,2.27,Mozambique
10.11499691,0.58,Myanmar
8.021969795,12.09,Namibia
4.079525471,4.81,Nauru
11.65520954,2.42,Nepal
8.164005,9.75,Netherlands
12.17976,9.99,New Zealand
12.12226868,5.21,Nicaragua
9.257975578,0.34,Niger
7.631049633,12.72,Nigeria
4.217076302,8.69,Niue
10.823,8.35,Norway
3.716739416,0.92,Oman
12.86981487,0.05,Pakistan
5.554276466,9.86,Palau
6.1052819,7.3,Panama
11.95694065,3.64,Papua New Guinea
4.409532,7.91,Paraguay
1.658907771,6.53,Peru
1.922485113,6.08,Philippines
13.63706,14.43,Poland
8.188375473,13.89,Portugal
2.515720844,1.29,Qatar
10.05932,16.15,Romania
27.87416,16.23,Russia
13.11794853,9.99,Rwanda
8.21094799,12.05,Saint Lucia
9.593027115,4.99,Saint Vincent and the Grenadines
5.542323589,4.51,Samoa
10.49314976,8.45,Sao Tome and Principe
6.401537895,0.34,Saudi Arabia
6.81143856,0.51,Senegal
13.71634,12.21,Serbia
9.507927895,12.11,Seychelles
11.98049736,9.48,Sierra Leone
9.127511,1.54,Singapore
10.64574,13.31,Slovak Republic
19.42261,14.94,Slovenia
4.484752655,1.37,Solomon Islands
29.86416435,0.5,Somalia
15.714571,10.16,South Africa
5.888479,11.83,Spain
28.10404587,0.81,Sri Lanka
9.709555626,2.56,Sudan
20.7474308,6.56,Suriname
12.87222195,5.05,Swaziland
11.11583,9.5,Sweden
13.23981,11.41,Switzerland
0.523527563,1.49,Syria
2.648980856,3.39,Tajikistan
12.41118145,7.86,Tanzania
9.847459793,7.08,Thailand
9.633114815,0.74,Timor-Leste
6.369887829,1.92,Togo
4.527851582,3.92,Tonga
14.54716682,6.16,Trinidad and Tobago
3.146814108,1.05,Tunisia
3.56332469,3.02,Turkey
12.21676922,5,Turkmenistan
7.934811592,2.14,Tuvalu
12.28912163,16.4,Uganda
18.95457,17.47,Ukraine
1.392950654,0.52,United Arab Emirates
6.014659,13.24,United Kingdom
9.927033,9.7,United States
14.53727,8.99,Uruguay
5.21372,3.61,Uzbekistan
4.983421803,0.96,Vanuatu
4.11962,7.6,Venezuela
11.65332222,3.91,Vietnam
6.265789032,0.2,Yemen Rep
12.01903629,3.56,Zambia
13.90526676,4.96,Zimbabwe